user_id,platform,impressions,clicks,conversions,spend,gender,age
user_045,Google,1248,74,13,446.47,M,52
user_046,Google,1694,86,15,388.23,F,33
user_047,Google,1040,57,9,282.63,F,30
user_048,Facebook,1559,71,13,418.49,F,47
user_049,Google,1024,33,4,451.71,F,36
user_050,Google,1683,81,9,514.63,F,34
user_051,Facebook,1766,85,15,536.25,F,36
user_052,Google,1609,66,9,580.9,M,45
user_053,Facebook,1077,47,9,512.44,F,43
user_054,Google,1181,60,7,400.44,M,54
user_055,Facebook,1056,33,4,262.52,M,43
user_056,Google,1512,63,10,589.56,F,40
user_057,Google,1145,52,7,416.88,M,26
user_058,Facebook,1295,62,9,294.87,F,29
user_059,Facebook,1551,31,3,357.52,M,18
user_060,Facebook,1863,51,7,417.76,F,18
user_061,Facebook,1854,77,14,531.25,M,51
user_062,Facebook,1871,68,10,709.8,F,49
user_063,Facebook,1996,44,5,939.37,F,42
user_064,Facebook,1754,64,6,628.51,F,18
user_065,Facebook,689,15,1,239.4,F,33
user_066,Google,1748,82,10,587.42,F,22
user_067,Google,1908,70,7,405.17,M,39
user_068,Facebook,1900,83,11,849.52,M,46
user_069,Google,1806,88,17,699.4,M,20
user_070,Google,1132,65,11,280.0,F,29
user_071,Google,1127,59,9,318.75,M,43
user_072,Google,1472,64,9,607.36,F,33
user_073,Facebook,1782,67,12,673.81,F,54
user_074,Google,1882,86,14,822.49,M,39
user_075,Facebook,1209,42,7,517.6,M,46
user_076,Google,1979,71,13,987.45,F,31
user_077,Google,1934,114,16,892.38,M,45
user_078,Google,1148,48,8,473.2,F,22
user_079,Facebook,817,30,5,175.34,F,47
user_080,Google,1748,99,13,735.05,F,22
user_081,Facebook,1757,52,9,608.42,F,29
user_082,Google,1183,66,8,356.88,F,33
user_083,Facebook,1163,24,3,317.45,M,43
user_084,Google,1897,81,11,429.65,M,43
user_085,Facebook,1995,93,15,834.24,F,38
user_086,Facebook,1756,39,4,431.91,F,53
user_087,Google,1636,89,9,578.31,M,50
user_088,Facebook,941,41,6,442.71,M,47
user_089,Google,1063,62,8,247.77,F,54
user_090,Google,1791,90,11,504.97,M,40
user_091,Google,1909,87,8,431.63,F,27
user_092,Google,1910,79,11,804.81,M,22
user_093,Google,1636,85,13,815.99,F,53
user_094,Google,1451,76,7,333.38,M,51
user_095,Google,1604,85,9,595.32,F,48
user_096,Google,1198,42,8,329.81,M,27
user_097,Google,612,35,6,158.95,M,36
user_098,Google,501,18,3,235.26,F,49
user_099,Google,1141,38,5,411.33,M,18
user_100,Facebook,719,34,4,235.12,F,22
user_101,Facebook,1354,47,5,630.12,M,21
user_102,Google,1748,76,12,835.25,F,33
user_103,Google,884,46,7,276.08,M,41
user_104,Google,1926,72,10,866.84,F,33
user_105,Google,1653,87,9,543.72,M,19
user_106,Google,1576,49,5,583.71,F,45
user_107,Google,1229,61,8,352.85,M,49
user_108,Google,1939,113,17,428.69,F,44
user_109,Google,746,25,2,312.52,F,37
user_110,Facebook,1335,50,6,500.39,F,41
user_111,Google,1962,104,15,516.7,M,29
user_112,Facebook,702,18,3,237.04,F,52
user_113,Google,1707,77,9,495.84,M,50
user_114,Google,622,31,3,300.73,F,50
user_115,Facebook,900,19,2,240.71,M,54
user_116,Google,1266,40,5,283.76,F,29
user_117,Facebook,793,34,4,324.99,M,20
user_118,Google,779,35,5,190.07,M,18
user_119,Google,1383,58,8,442.28,F,50
user_120,Facebook,697,18,3,217.87,M,27
user_121,Google,1481,60,8,628.19,M,46
user_122,Facebook,1251,62,11,587.61,F,30
user_123,Google,643,26,3,135.83,M,29
user_124,Facebook,1108,46,4,488.22,M,48
user_125,Facebook,1724,75,11,529.35,M,19
user_126,Google,1647,73,14,521.03,F,52
user_127,Google,686,27,3,325.81,M,40
user_128,Facebook,1849,54,7,839.45,F,34
user_129,Google,963,44,4,357.43,M,43
user_130,Google,1872,88,9,790.84,M,25
user_131,Google,1159,37,6,284.56,M,46
user_132,Facebook,1263,26,4,256.63,F,43
user_133,Facebook,1454,49,6,665.53,M,27
user_134,Facebook,902,27,3,388.32,M,43
user_135,Facebook,1869,84,9,765.57,F,51
user_136,Facebook,646,30,3,251.76,M,24
user_137,Facebook,1671,34,3,743.84,F,21
user_138,Facebook,1363,41,8,430.05,F,28
user_139,Facebook,988,39,6,383.36,M,46
user_140,Facebook,1428,65,8,436.72,F,53
user_141,Google,1050,47,9,292.77,M,42
user_142,Facebook,837,31,5,412.99,F,38
user_143,Google,1371,47,8,432.22,F,53
user_144,Google,1140,37,4,547.67,M,27
user_145,Google,972,47,5,467.65,F,54
user_146,Facebook,650,13,2,306.58,F,26
user_147,Facebook,1938,60,7,785.06,F,41
user_148,Facebook,1821,39,4,781.96,F,52
user_149,Facebook,762,21,4,262.98,F,52
user_150,Google,643,35,5,299.27,M,53
